category	title	review
Kitchen	Inspired Basics Cast Iron Cleaner XL 8x6 Inch 316L Highest Grade Stainless Steel Cast Iron Skillet Cleaner	I just received this today and I did use it on one of my Lodge pans that was clean but had a few carbon pieces that had become part of the pan over the years. It very easily knocked those pieces off. I've been wanting some of this (or one of these) for a while but I find it easy enough to take care of cast iron without anything special. Depending on what you do with your pans though, sometimes nothing works as well as a specialized piece designed for that very purpose. Let me say though, I have never used one of these before nor have I ever seen or handled them anywhere else so I cannot say how this compares to the other pieces of chainmail on the market. So that being said, this is heavy duty, well put together and a good grade of stainless and as I said, it works... And it did something that I was going to have to use something like a chisel or perhaps a strong flat head screwdriver for (although I didn't want to take the chance of gouging the pan surface). There is merit to &#34;the right tool for the right job&#34;. I got this at a promotional price in exchange for an honest review (to be fair, they never said they expected a review of any kind so maybe &#34;in exchange&#34; is the wrong term but that's implied). Honestly, I do not think I would have purchased this otherwise even though I said I have wanted one, for a few reasons, one is my cast iron has been meticulously cared for and has a great no stick surface so clean up is a snap, and another is I don't really use the pans for let's say a scrambled egg and cheese casserole or something that has the potential to be that messy... That is where I could see something like this coming into its own and were that the case, I would be all over something such as this. And that's why the 4 stars rather than 5. For me, this is a very specialized utensil, and as of yet I don't really see any other use for it. If this hits the mark for you, then yes, 5 stars for the build and materials and the company. If I figure outanother use for this, I'll let you know. ***************** I just changed this from 4 to 5 stars, this thing is great for cleaning grill grates and also the grill ridges in a stove top griddle, as long as it's not coated with something like Teflon. Now this has multiple uses for me and that's the fifth star!
Kitchen	"12"" Latex Balloons"	balloons. they blow up. they dont defalte for a whil.e
Kitchen	Lakemint Zoodle Chef Vegetable Spiralizer with Recipe e-Book and Cleaning Brush	This is a great tool for fun veggies! I just received mine today, and already convinced my &#34;ewww...vegetables!&#34; kid to join me in zucchini and eggs for breakfast...and she LOVED them. Can't wait to try out other veggies. VERY easy clean-up, and small enough to drop in a drawer. I can foresee a very busy future for my Zoodle!
Kitchen	Ivation Lightweight Digital Kitchen Scale w/Plastic-Covered Buttons - Ounce, Milliliter & Gram Weight Units - Features 11 Pounds Capacity & One-Button Tare Setting	Easy to use & it stores nicely!
Kitchen	Zak Designs Confetti Red Extra Large Mixing Bowl	Arrived broken!
Jewelry	Girls Earrings - This Cute Pair of Little Girls Stud Earrings Is Studded with Clear and Pink Rhinestones - Jewelry for Girls or Flower Girls Are Always Popular Gifts	My 5 year old granddaughter liked these sparkly earrings and was impressed with the pretty silver box they came in.
Kitchen	Cybrtrayd Life of the Party AO062 Cherry Bon-Bon Chocolate Candy Mold in Sealed Protective Poly Bag Imprinted with Copyrighted Cybrtrayd Molding Instructions	I use these to make scented wax melts, they work like a charm.  Received sooner than expected too!!
Jewelry	Rembrandt Charms Music Charm with Lobster Clasp	Love my charms
Jewelry	Bling Jewelry Kids Red Enamel Apple 925 Sterling Silver 11mm	Can't wait to wear these on the first day of school. The kiddos always get a kick out of my pencil earrings, im sure they'll love these too. Perfect size- they look just like the picture.
Kitchen	Rubbermaid 26073 Limited Edition Dishwasher Safe Pitcher, Red	It's a pitcher - it's solid and doesn't leak - no complaints!
Jewelry	Aiyaya Jewelry Vintage Grand Choker Rhinestones Fashion Necklace	Simply stunning! Being from South Louisiana, we attend a lot of formal Mardi Gras balls, Twelfth Night parties, Festival balls, etc.  This is the perfect piece of jewelry to dress up a simple formal or semi-formal gown. The necklace incorporates lots of colors and could really be paired with a multitude of things. I like big, chunky, glamorous jewelry, and this is definitely a stunner! I have a lot of my great grandmother's antique jewelry and this reminds me of something from the 1940's. The colors of the necklace remind me of the beaches of Cancun and the beautiful shades of blue waters and the yellow sunshine. It comes packaged in a red velvet drawstring bag. Mine came in with a stone missing, I assume from shipping, but I am working on getting it exchanged as I type. This is definitely not a cheap, lightweight piece! It is so much more than I expected and I was pleasantly surprised! I do not think you will be disappointed at all with this piece, especially for the price! I received this product at a discount in exchange for my honest and unbiased review.
Kitchen	12 Black Plastic Pour Spout Dust Cap Covers Universal Dust and Bug Protection	My husband is a bartender and does private events in addition to his job at the bar. I think of the &#34;small things&#34;...like keeping the dust out of the bottles with the pourers. He got the tyre of pourer spouts with the flaps for his bar, but the plastic black ones (w/o flaps) for home. These fit perfectly. Great price, serve their purpose well.
Kitchen	Cute Rilakkuma Bear Plastic Chopsticks with Silicone Guides -Brown Color	Bought this for a friend who didn't know how to eat with chopsticks. And she loves it! Great for training!
Jewelry	Sterling Silver Purple Amethyst & White Topaz Gemstone Women's Ring Sizes 5 to 9 (4.90 cttw, 14X10MM Oval)	Gorges
Jewelry	Aqua lt blue Flower Starfish top & bottom 2 pc spinal Belly button navel Ring piercing bar body jewelry 14g	It was as described. Pretty stones. I did not like how it poked me but overall it was as described.
Jewelry	Lokai Bracelet - Medium	Was exactly as pictured and I recieved it early.
Jewelry	Sterling Silver Swirl Hook Swarovski Elements Crystal Heart Drop Earrings	Very pretty.  Like wearing hoops.
Kitchen	OXO Good Grips Zester and Grater	This is a great product. Very happy I bought it. I use it for making lemon zest all the time.
Jewelry	His & Her's 8MM/6MM Tungsten Carbide Celtic Knot Dragon Design Carbon Fiber Inlay Wedding Band Ring Set	Beautiful rings!  They fit and wear comfortably and engraving is clear.  Seller is great too, very communicative and helpful!  The only suggestion I have would be to try to center the engraving more in the middle of the band widths and a bit further away from the tungsten labeling on the inside of the rings.  For the price of the rings and engraving for both this is a great deal!
Jewelry	Long Necklace for Women Handcrafted Silver Tone Czech Glass Crystal Bead	Very pretty and elegant! The crystals are darker than they appear in the photo, and actually look nicer than I expected. I have worn this necklace to work and received several compliments... it looks like you spent more $ than you did :)
Jewelry	14k White Gold 2-6mm Basket Round Solitaire Cubic Zirconia Children Screw Back Baby Girls Earrings	Were worn less than a week when stone and setting broke off and were lost.
Kitchen	Basily Vegetable Spiral Slicer - Stainless Steel Vegetable Spiralizer - Best Way To Julienne A Carrot, Potato, Zucchini, Cucumber - Special Japanese Blades 2 Julienne Sizes Professional Spiral Cutter -	Received on time and as described. Will use again.
Kitchen	Jollylife Silicone Mold Ice Cube Tray Ball for Star Wars Lovers or Party Theme 2pcs	Very good
Kitchen	Dolisia Stainless Steel Whipped Cream Dispenser – Culinary Professional Starter Kit 8 N20 Cream Chargers (Whipped Cream Dispenser + 8 N20 Cream Chargers)	it works great, it holds a pint of cream and stays fresh for a while in the fridge if you don't use it all at once.
Jewelry	Gold Plated Heart Ring, Love Ring Heart, Promise Ring 925 Sterling Silver Plated in 18k Gold -Available sizes 5,5.5,6,6.5,7,7.5,8,8.5,9	Love it got one in silver for the summer and one in gold for the winter I'm thinking about getting one for my daughter and granddaughter..update it has been 6 months now color has changed
Jewelry	Diva Co.black Onyx Pendant Tassel Lace Choker Handmade Necklace Lolita	made flimsy. my hand one with the ring came broken
Kitchen	Taylor Precision Products Digital Refrigerator/Freezer Thermometer	Thermomenter is great to check my wine fridge, but it can't hang on the wooden racks, so I just stand it up.
Kitchen	Top Rated Bellemain Premium Quality Stainless Steel Lemon Squeezer with Silicone Handles	The best lemon squeezer I've ever used! Large enough to fit those monster-sized lemons, strong steel to give them a good squeeze, and small enough holes to not let those darn seeds through. I like the comfort of the handles too. Excellent product.
Jewelry	8MM Tungsten Carbide Men's Wedding Band Ring in Comfort Fit and Matte Finish Sizes 5 to 16	I bought this because the ring I ordered for my wedding was not going to be delivered in time for my wedding.  I considered cancelling my original one, which cost over $300 and keeping this $20 ring.  I was amazed by the weight, quality and comfort fit of this ring.  This is a solid piece of jewelry and manly looking.  I work a lot with my hands and although I only wore this ring for a few weeks, it was still in perfect condition when the other one arrived.  Very quick shipping also.  Couldn't have been more satisfied.  I told my wife I would wear this ring every year on my anniversary since this is the ring I wore on our wedding day.
Kitchen	Wagner Magnalite 5781 Aero-Thermal High Performance 1 Quart Cooking Saucepan with Lid	Perfection. The casting & finish quality are absolutely top notch, handle very comfortable and the bottom edge curvature makes cleaning easier.
Kitchen	FloridaBrands Plastic Ice Cube Tray - Color May Vary	We couldn't even use these, I threw them away. The ice would break into tiny shards rather than pop out like it's supposed to.
Jewelry	Bling Jewelry .925 Silver Natural Compressed Turquoise Leverback Earrings	Matches Bling's Lapis ring nicely. Love the color of the stone, it's a nice deep blue and the silver is nice quality. The earrings aren't too heavy, and I like that the scroll work covers it partially. Seems like a nice secure earring. I'm wearing them now and they are very comfortable.
Kitchen	Sato Cutting Board Holder Stand	Fits my cutting boards behind my kitchen sink.  My sink is on a corner, so it fills the space well.  Good use of storage for a small space there.
Kitchen	iSi Set of 3 Flexible Measuring Cups - 1	Ii love this set...I heat milk for my coffee in the microwave and just pour it into the metal carafe.  The other sizes are just as useful.  I will surely give it as presents to lucky folks.
Kitchen	Tovolo Twist-Lock Corn Holders - Set of 8	Some real thought went into these holders.  The overall length is 3 1/8 inches and the central spike is 1 1/4 inches.  The central spike extends beyond the screw.  Inserting them is simplicity itself.  Press the central spike into the cob, and then screw it in.  Holds the corn firmly until you're finished eating.  Then simply unscrew and remove.  Note that these are designed to work with corn that has been cut on both ends.  Longevitity is the only question, but these holders look and feel plenty sturdy.  Highly recommended.<br />(10/31/2017)  Here I am again. After two years of chomping these holders are still going strong with no issues whatsoever. I only use four as I gave the other four to a friend shortly after purchase.  As I said before, “Best I've Ever Used !!”
Kitchen	3dRose wb_4186_1 Trombone Sports Water Bottle, 21 oz, White	My son was so excited when I gave this to him.  He takes it to every band practice.
Jewelry	Sterling Silver 1.5mm Italian Round Wheat Chain (14, 16, 18, 20, 22, 24, 30 or 36 inch) …	Perfect for a silver charm
Jewelry	Ladies Adjustable Italian Design Mesh Bracelet	it is one of the few that don't run up to my elbow or falls off I have very small wrist.
Kitchen	5pc Cake Decorating Molds- Premium Silicone Decoration Molds for Sugarcraft, Fondant, Gumpaste, Resin Mold , Lace Embossing Impression DIY Cake Fondant Decorating Mold -(set of 5)- Pink	The patterns are really nice. Works really well. Would but again.
Kitchen	J.A. Henckels Twin Gourmet 18-Piece Block Set with Instructional Knife Skills Video	Perfect knives & great storage block.
Jewelry	Pair (2) Steel CZ Single Flare Ear Plugs Clear Gem Gauges Tunnels - 2G 6MM	Bought these as a gift for my boyfriend. He likes  them. So that's why 4 stars. would be 5 but the jewel seems a little loose, it hasn't fallen out YET, but we expect it because it seems cheaply made
Kitchen	T-fal FR4049 Family Pro 3-Liter Oil Capacity Electric Deep Fryer with Stainless Steel Waffle, 2.6-Pound, Silver	I love it! The fries made with it are really good but not greasy. The only thing I don't like about this product is that it is a little bit noisy.
Kitchen	"Catskill Craftsmen Reversible Perfect Pastry Board, 22"" x 16"" x 3/4"""	Perfect replacement for an old cutting board.
Jewelry	Stainless Steel Polished CZ 4.00mm Band.	The prompts set in between stones are huge take away the stones a bit.  I will keep it but will not be my favorite.
Jewelry	Sterling Silver Dog Dangle Earrings	They are very nice.
Jewelry	BodyJ4You 36PC-72PCS Crystal Stud Earrings Lot Flexible Bioflex Ear Piercing Stud Gift Set	Look nice , a little to small  but cute.
Jewelry	8mm Men's Titanium Ring Wedding Band Black Plated Satin Polish Ridged Edge Size 8-14 SPJ	love it and my superman fans gonna love it, good business arrived early .
Jewelry	KONOV Polished Stainless Steel Bangle Cuff Bracelet, Unisex Mens Womens, Color Gold	I really like it but because im sensitive to certain metals i got an allergic reaction to it.
Jewelry	Unistyle Jewelry Vintage Mens Womens Leather Bracelet with String Beads Brown Adjustable Bangle	I am very impressed with how well this bracelet is made and I love how it looks around my wrist. It was made to perfectly compliment a man or women combining brown leather with silver gold and brown beads. It is adjustable with a knot that can be tightened or loosened and will fit wrist 7 to 9 inches. It arrived in a really nice black box that would make it a great gift idea. I received this product discounted in exchange for a honest and unbiased review.
Kitchen	Aerolatte Shaker and Cappuccino Art set	The shaker works fine.  I would like it much better if it had a cap/lid for storing without the fear of ants or moisture penetration.  The stencils are nice and work as advertised.  You can also purchase various other latte art stencils to round out your collection.
Kitchen	Cuisinart CEC-10 Egg Central Egg Cooker	Works great and does 10 eggs! Only downfall is some of the eggs ooze while cooking so cleanup is a bit more than I'd like.
Jewelry	Lux Accessories Womens Tribal Floral Bib Statement Necklace	This wasn't the most expensive of necklaces, but one of the reviews that had a video sold me.  I'm glad that I bought it.  It's really adorable and doesn't look cheap or tacky.
Jewelry	KONOV Mens Womens Genuine Leather Bracelet, Angel Wing Braided Cuff Bangle, Black Silver	you have to play with the clasp a bit but once its on its pretty good
Jewelry	KONOV Mens Womens Agate Onyx Hexagonal Prism Pile Natural Gemstone Pendant Necklace, 24 inch Chain, Black	I honestly wasn't expecting it to be so nice!!! I love it. It was nicely presented and packed. Love love love it
Jewelry	Sapphire and Diamond Ring 14K White Gold	Love, Love, Love this ring.  It's beautiful!
Kitchen	Taylor Precision Products Classic Line Candy/Deep Fry Thermometer	I used it once and then it was full of fog, which I can't get rid of.
Jewelry	.925 Sterling Silver Rhodium Plated Wedding Engagement Ring	Love this ring! It's so pretty! Wish they had 1/2 sizes tho!
Kitchen	Raw Sugar Cane Swizzle Sticks - Pack of 20	This is b less than one star..has no taste I could have got the same taste from a toothpick. .don't buy wasted my money
Kitchen	Keurig 2.0 K350 Brewing System - Black	This brewer provides many choices as far as cup sizes are concerned. That's a real plus for the selecting the tiny to the large. It also has the carafe that comes in handy when several people are drinking the same flavor. One drawback is that choices of flavors are restricted to cups with the Kuerig  logo. But we have found satisfactory flavored creamers that satisfy different preferences.<br />The reminder to change the filter is a good idea since maintenance is hard for me to keep track of.<br />The choice to brew tea and hot chocolate will probably be used as the weather turns cold and hot beverages are a real necessity.<br />The bottom line is that I really like this model much better than the older one that was used for several years.
Kitchen	Paderno World Cuisine Spiral Vegetable Slicer / Countertop-Mounted Plastic Spiralizer Basic incl. 3 Different Blades Made of Stainless Steel	Absolutely love this product! It slice/cuts very easily. clean up is simple and easy to wash and store.
Jewelry	18k Gold Plated Asscher Cut Halo Cubic Zirconia Drop Earrings (2.60 carats)	Love these earrings. They beautiful!
Jewelry	Tibetan 5mm Elastic String Happy Buddha Charm Prayer Beads Wrap Bracelet	color on beads washed off after 3 weeks
Kitchen	Oster CKSTSKFM05 16-Inch Electric Skillet, Black and Stainless Steel	I'd give it a negitive if I could.  It buzzes when its plugged in and it only has one setting even though it show's varitable settings.  Its Extreamly hot.... and thats it.  Not worth buying.
Jewelry	Black Tattoo Choker Necklace 90's Accessories Punk Choker (2 Pack)	Remember the 1980’s?  Remember the black plastic lace looking like chokers?  I sure do and I loved them then, I’m glad to see them back now.<br /><br />These come in a set of two, black, which goes with everything and fits right over your head onto your neck.<br /><br />I don’t remember these being punk, I do remember as I said earlier than I loved them back then and do now, and it’s an easy addition to any outfit.<br /><br />I received this item at no cost in exchange for my honest opinion
Jewelry	"Jewelry Monster ""Cell Phone"" for Floating Charm Lockets"	It shouldn't be considered jewelry as it has no way of adding it to jewelry. Luckily my boyfriend is a welder and was able to attach it to metal piece so I could add it like a charm
Jewelry	GURAIO Fashion Lady Strands Suede Rope Bracelet Gift	It's a very nice bracelet. I've received many compliments when I have wore the bracelet.
Jewelry	DC Comics BATMAN Logo CUFFLINKS and TIE CLIP Set	I bought these quite a while ago and it took about 3 weeks I understand they came from China but also when I got them the cufflinks were oblong shaped and the bat logo was distorted as you can see from the pic
Kitchen	Alaskan Ulu, Legendary Knife of the Arctic	it has a strudy blade. would rather have a full handle as fingers thru opening, get pintched as you ad pressure. like cutting  thru ribs rolling forward not the bone.
Kitchen	Spiralizer 5-Blade Vegetable Slicer, Strongest-and-Heaviest Duty, Best Veggie Pasta & Spaghetti Maker for Low Carb/Paleo/Gluten-Free Meals, With 3 Exclusive Recipe eBooks	I've had the Spiralizer about a month and have used it many times with different vegetables.  Excellent zucchini or yellow squash pasta, but I think my favorite is what I call onion &#34;nests&#34;.  So much easier and healthier than regular onion rings.  Same with potato nests, or a mixture of potato and onion.  Yum!  Cleanup is also very easy.  So much better than a hand-held model.
Jewelry	5pcs Geometric Above Knuckle Mid Finger Stack Midi Crystal Ring Set S468K10	They are a little cheap looking.  Not too bad.
Jewelry	2 piece set pair Gold plated clear cz gem Nipple barbell Ring body Jewelry piercing rings- 14 gauge 14g	irritated my skin really bad, I had to take them out :(
Kitchen	Premium Spiral Slicer - Vegetable Spiralizer with Free Cleaning Brush for Making Zucchini Pasta or Veggie Zoodles	exactly as advertized makes delicous zucchini noodles when you don't want all the carbs of pasta.  The little cleaner brush that accompanies it is a life saver.  Very easy to use to clean the small crevices where the blades might collect zucchini pieces
Kitchen	Bellaa Hand Made Designer Wine Holder Pirate Captain At the Helm Gifts Collection	Bought this for our &#34;Pirate Room&#34;.  Very pleased with the quality and design.
Kitchen	YSTD® New Kitchen Tool Craft Mango Fruit Slicer Splitter Cutter Pitter Corer Tools	Nice! I didn't even know stuff like this exist until I got this slicer as a gift. It works great.
Jewelry	KONOV Unique Stainless Steel Spear Wolf Tooth Pendant Mens Necklace Chain	Very well crafted
Jewelry	"14k White Gold Italian 0.70mm Round Box-Chain Necklace, 20"""	Quality for much less than i paid other places for sterling silver. I'm a happy customer!
Kitchen	Farberware BBQ Interlocking Corn Holders (Set of 8)	My husband and I use these corn holders all the time, especially for summer cookouts. They have a nice grip and work very well. I would recommend them.
Kitchen	Bento Box : Hello Kitty Sakura Fuji Sanrio Lunch Box Bento 2stage Belt	I just received my bento box & I am very happy! ^_^ The design is as pictured & it is a lot bigger than I thought it would be! It also has a really great seal so top & bottom fit perfectly. I only wish they made a matching bag to carry it with. :P
Kitchen	Surfer Street Sign Cutouts   (4/Pkg)	Very colorful! Went well w/ the rest of the Decor for My son's Surfer/beach themed High school grad party. However they were a bit &#34;flimsy&#34; I thgt it would have been a more firm cardboar.  When I tried to hang them(little hole punch on each end) it sagged in the middle. So instead I doublesided tape them to the walls etc for deco. But other than that looked great!
Kitchen	Granite Ware Canning Kits	This is a great value. Bonus: made in the USA so no worries that there might be lead or heavy metals hiding in the manufacture of this product.
Jewelry	FM42 6-Prongs 6mm Sparkling Clear Crystal Solitaire Engagement Style Ring R51 Size 6	This is a beautiful ring. I wear it everyday! Love the rose gold! I've washed my hands a few times with it on and the color hasn't faded (as of yet) and it doesn't make my had green. However, the prongs aren't really evenly spaced out, which bothers me a little. It's not really noticeable unless you really look at it.<br /><br />UPDATE: It's been a couple weeks now and I've noticed that some of the color has worn off. At least around the band, it's turned like regular gold instead of rose gold. The setting, where the diamond sits is still rose gold so the ring looks two-toned now...
Kitchen	Truefabrications Smartphone Flask, 4 Oz, Black	This product is a waste of money.  The stopper pops off when it has liquid in it.  And sincs its not attached, it got lost after it popped out .  Horrible!  Save your money.
Kitchen	Fred and Friends PASTASAURUS Pasta Server	Good quality plastic. And come on. It's a dinosaur pasta spoon.
Kitchen	Miles Kimball Antique Yellow Butter Dish	I like this butter dish. It is a little narrow, but works fine.
Jewelry	Sterling Silver CZ Half Hoop Post Earrings	Sparkly and shiny.  I like the size and they feel strong-good posts.
Kitchen	Thermos Funtainer 12 Ounce Bottle	fairly good
Jewelry	BodyJ4You 18PCS Gauge Tunnel Kit 14G-00G Stainless Steel Ear Plugs Stretching Set Single Flared Expanders	If you're wondering from the slightly ambiguous wording in the item description (you know how some sellers would consider the tunnel one piece and the o-ring as another = 2 pcs) -- you DO get two tunnels and two rings of each gauge.<br /><br />The 14 gauges aren't &#34;tunnels&#34; in that they're so small there is no &#34;tube&#34; through them- they are solid, but they do match the style of the rest of the tunnels with the flared fronts and ridged back for holding your o-ring..  getting that TINY o-ring on is tough because it's so small so you might need help (I did).  Also, the 14gs were slightly larger than a standard 14g ring or taper.. not enough that I felt the need to grab my 12g taper, but enough that I did notice there was a difference and it needed a little extra push to get them through.  However, I will say- sleeping with tunnels in your double helixes?  WAY more comfortable than sleeping with rings in them.<br /><br />To be noted- the O-Rings have to be tight- otherwise, they slip off easily and if the o-ring doesn't stay on, your tunnel will fall out in your sleep, and all that stretching progress can be lost- especially if you're working with cartilage, so tight o-rings are a GOOD thing.<br /><br />I have piercings of a variety of sizes in my ears, and have been wanting to gauge my lobes from their 6g & 4gs to 00gs for ever, and just never got around to it..  This kit is perfect for me because I like to stairstep my stretching with a variety of sizes all at once- so I've always got at least one side of my head that I can sleep on.<br /><br />This kit is lovely.  I would never believe that it was a $3 set (when I bought it).  The metal is smooth and polished.  The tunnels are sturdy.  The rings fit tightly.  They're all labeled in individual resealable packages..  Aside from the 14 gauges being slightly large, I can't find any flaws with any of them.<br />This set is definitely worth the gamble.<br /><br />Came back to edit a week later--<br />I justwanted to add- a week in- and no problems, no skin reactions, no signs of rust (some cheap sets do that), the rings have stayed tight, and I still love them on all counts.<br /><br />Came back a MONTH later--<br />Once again, I came in to add- it's been a month with them in- and NO problems, no signs of rust, no deterioration of the o-rings- and I still love them.<br /><br />Came back TWO YEARS later--<br />I am still using these.  I have the two 10g in my helixes- they have been in there from day one- taken out only for cleaning, they have gone through showers/baths and hair products being sprayed around them every day for that entire time.  No sign of rust, no irritations, no issues whatsoever.  Not a single tunnel in the set has given me any trouble.  As time went by a few of the smallest o-rings got a little hard- but that did not lessen their ability to do their jobs- and I'm still using the original o-rings on them.<br /><br />If I could give them a higher rating I would.  I just can't tell you enough- even at the new price- THIS SET IS WORTH THE MONEY.<br />Awesome set for an even awesome-r price.
Jewelry	Nanny I Love Heart My Silver Toggle Necklace Crystal Black Rectangle Jewelry	A+
Kitchen	Ilsa Gas Ring Reducer, 5-Inch, Cast Iron	I now can cook a lot of dishes that require slow and long cooking time without burning them up because of this little helper here. It diffuses the heat evenly and prevent the pot or pan from burning or having food stick to the bottom for longer cooking time dishes.
Kitchen	Da Vinci Natural Bamboo Large Wood Cutting Board - 12 x 16 Inch, 1 Board	Bamboo cutting board  Have only had it a few months.  Used regularly but seems to be holding up ok.  I did use some mineral oil to protect it as it doesn't have any kind of oiled finish on it.
Kitchen	Style Setter 210898-GR Mason Beverage Dispenser	Good price, perfect size, easy to clean.
